species,fish_count,maximum_length,minimum_length,survey_ID,survey_date
CAP,"[[10, 1], [17, 2], [18, 1], [19, 5], [20, 3], [22, 3], [23, 1], [24, 5], [25, 1], [26, 8], [27, 8], [28, 7], [29, 7], [30, 1], [31, 3], [32, 1], [34, 1], [8, 1]]",34,8,117519,1994-06-06
LMB,"[[13, 2], [14, 6], [15, 1], [5, 1], [6, 1]]",15,5,117519,1994-06-06
NOP,"[[11, 1], [13, 1], [16, 1], [17, 2], [18, 4], [19, 3], [20, 1], [21, 2], [22, 1], [26, 1], [30, 1], [32, 2]]",32,11,117519,1994-06-06
SHR,"[[14, 1], [16, 2], [17, 1], [18, 1], [20, 2], [21, 1], [9, 1]]",21,9,117519,1994-06-06
WAE,"[[4, 2], [5, 61], [6, 36], [7, 7], [10, 2], [11, 30], [12, 43], [13, 9], [14, 14], [15, 30], [16, 26], [17, 19], [18, 8], [19, 5], [20, 1], [21, 3], [23, 2], [24, 1], [26, 1], [28, 1], [29, 1], [6, 1], [7, 4], [8, 2]]",29,4,117745,2001-05-30
QBS,"[[14, 1], [18, 6], [21, 1]]",21,14,117745,2001-05-30
GLR,"[[12, 3], [13, 2], [14, 2], [16, 2], [17, 3], [18, 2], [20, 2], [9, 2]]",20,9,117745,2001-05-30
WTS,"[[10, 2], [11, 1], [12, 1], [13, 2], [14, 1], [16, 6], [17, 29], [18, 21], [19, 22], [20, 9], [21, 1], [9, 1]]",21,9,117745,2001-05-30
YEB,"[[12, 4], [13, 6], [14, 6]]",14,12,117745,2001-05-30
GOS,"[[5, 1]]",5,5,117745,2001-05-30
PMK,"[[5, 1]]",5,5,117745,2001-05-30
NOP,"[[19, 1], [21, 1], [23, 1], [25, 1], [26, 1], [27, 1], [28, 1]]",28,19,117745,2001-05-30
SHR,"[[10, 1], [12, 2], [13, 2], [14, 3], [15, 10], [16, 6], [17, 9], [18, 17], [19, 11], [20, 3], [21, 4], [22, 1]]",22,10,117745,2001-05-30
CAP,"[[10, 2], [11, 1], [21, 1], [22, 2], [23, 6], [24, 2], [25, 4], [26, 5], [27, 3], [28, 6], [29, 2], [30, 6], [32, 1], [6, 1], [7, 3], [8, 1], [9, 2]]",32,6,117745,2001-05-30
RKB,"[[5, 2], [7, 3], [8, 2], [9, 2]]",9,5,117745,2001-05-30
FRD,"[[11, 13], [12, 23], [13, 32], [14, 60], [15, 13], [16, 2], [17, 1], [19, 1], [20, 3], [21, 2], [22, 1], [23, 2], [24, 1], [25, 1], [4, 10], [5, 44]]",25,4,117745,2001-05-30
YEP,"[[10, 229], [11, 127], [12, 19], [5, 3], [6, 125], [7, 385], [8, 265], [9, 622]]",12,5,117745,2001-05-30
WHB,"[[12, 1], [13, 23], [14, 12], [15, 4], [5, 1], [6, 8], [7, 5]]",15,5,117745,2001-05-30
BLC,"[[10, 1], [12, 2], [3, 1]]",12,3,117745,2001-05-30
BIB,"[[27, 1]]",27,27,117745,2001-05-30
CCF,"[[21, 1]]",21,21,117745,2001-05-30
BLG,"[[5, 8], [6, 6], [7, 2], [8, 4], [9, 2]]",9,5,117745,2001-05-30
BRB,"[[14, 1]]",14,14,117745,2001-05-30
