city_name,city_longitude,city_latitude
Cook,-92.689618,47.852418
Lyle,-92.9435596,43.50533
Willernie,-92.9566037,45.0541329
Floodwood,-92.9196483,46.9291095
Gem Lake,-93.0324403,45.057466
Pillager,-94.4741744,46.3299668
Verndale,-95.0147464,46.3982953
Franklin,-94.8805473,44.5282947
Sunfish Lake,-93.098551,44.8707992
Prinsburg,-95.1875089,44.9338496
Geneva,-93.2679109,43.8232621
Racine,-92.4827005,43.7760146
Claremont,-92.9976958,44.0441674
Cosmos,-94.6968269,44.9363775
Brewster,-95.4686153,43.698573
Sacred Heart,-95.3516784,44.786903
Brandon,-95.5987378,45.9651633
Rothsay,-96.2808631,46.4739548
Jenkins,-94.3347171,46.646074
Carlos,-95.2922574,45.9724628
Kiester,-93.7121663,43.5363429
Ellsworth,-96.018356,43.518023
Pennock,-95.1764036,45.1488509
Upsala,-94.5713974,45.8107986
Lafayette,-94.3952541,44.4466306
Ulen,-96.2589491,47.0788502
Ashby,-95.81755,46.093016
Stewart,-94.4858185,44.7246843
Bethel,-93.2678063,45.404098
Clearbrook,-95.431123,47.691901
Altura,-91.9396022,44.0716301
Randolph,-93.0199336,44.526078
New Germany,-93.9705255,44.8841292
Sturgeon Lake,-92.8238459,46.3811622
Danube,-95.097225,44.7919049
Fifty Lakes,-94.093035,46.7391272
Wrenshall,-92.3856282,46.6196881
Miltona,-95.2914238,46.0441295
Wykoff,-92.268221,43.7071863
Vermillion,-92.9671545,44.6735782
Lynd,-95.890302,44.386072
Badger,-96.0141311,48.7829985
Kellogg,-91.9957204,44.3085769
Tower,-92.276651,47.804984
Akeley,-94.7269629,47.0041955
Milan,-95.913371,45.108571
Fisher,-96.8014534,47.800073
New Auburn,-94.2296994,44.6735743
Fountain,-92.1362717,43.7399639
Oklee,-95.8547886,47.8387483
Chokio,-96.1729805,45.5714585
Bigfork,-93.6539948,47.7445302
Waubun,-95.9388858,47.1807067
Morton,-94.9844392,44.5513496
Remer,-93.916069,47.056065
Willow River,-92.8383129,46.3201763
Rose Creek,-92.8318541,43.6035756
Ogilvie,-93.4263416,45.8321825
Erskine,-96.0099602,47.6669831
Nevis,-94.8395533,46.9651482
Herman,-96.1434163,45.8085608
Hanska,-94.494136,44.1488494
McGregor,-93.313842,46.6066151
Woodland,-93.5105087,44.9484736
Alvarado,-96.9961813,48.1941477
Clinton,-96.43367,45.460242
Comfrey,-94.9047089,44.1102361
Pine Springs,-92.9548313,45.0358292
Ghent,-95.891137,44.512738
Wood Lake,-95.5383495,44.6527349
Barrett,-95.89033,45.910516
Round Lake,-95.4683381,43.5405195
Emmons,-93.4883348,43.5018014
Rushmore,-95.800571,43.61941
Underwood,-95.8712208,46.285321
New Munich,-94.7536231,45.6302427
Russell,-95.951692,44.31913
Vergas,-95.805326,46.656626
Bricelyn,-93.8123351,43.562192
Lancaster,-96.8045602,48.8582488
St. Marys Point,-92.770525,44.912383
Newfolden,-96.3296493,48.3558564
Jeffers,-95.1966602,44.0557904
Darwin,-94.410821,45.0963516
Garfield,-95.4921314,45.9406974
Long Beach,-95.4175371,45.6546835
Lowry,-95.519095,45.7048887
Lakeland Shores,-92.7672749,44.9489049
Askov,-92.7825713,46.1866144
Swanville,-94.63837562453601,45.91479914999999
Deer Creek,-89.3323928,40.6298648
Grey Eagle,-94.7493714,45.8246312
Plato,-94.0399721,44.7744064
Calumet,-93.276868,47.321883
Vernon Center,-94.1691248,43.961906
Dexter,-92.7045548,43.7197096
Wilmont,-95.827237,43.764687
Sanborn,-95.1289248,44.2095386
Medicine Lake,-93.4164045,44.9951032
Cuyuna,-93.9230366,46.5169062
Hartland,-93.4866381,43.8037219
Canton,-91.9298793,43.5296886
Buckman,-94.0936003,45.8974655
St. Martin,-94.66807173341307,45.5042983
Cyrus,-95.738103,45.614683
Finlayson,-92.9160349,46.2016136
Hollandale,-93.2041983,43.760829
Maynard,-95.4689074,44.9069025
Middle River,-96.1640721,48.4343071
Murdock,-95.3933582,45.2238494
Hackensack,-94.5204074,46.93003
Ceylon,-94.6316462,43.5335672
Dakota,-91.3598478,43.9138856
Belview,-95.3294509,44.6052358
Skyline,-94.0307892,44.1421882
Hendrum,-96.8114676,47.2644166
Granada,-94.3478145,43.6958954
Beaver Creek,-96.363724,43.613987
Eitzen,-91.4615282,43.5080273
Nerstrand,-93.0679881,44.3419094
Plummer,-96.0414646,47.9113855
Bowlus,-94.4094468,45.8194098
Chandler,-95.9476393,43.9289195
Vesta,-95.4163965,44.5077348
Backus,-94.5163876,46.8202373
Gonvick,-95.5131887,47.7370442
Kensington,-95.696159,45.778015
Wilton,-95.001117,47.5034
Utica,-91.9548787,43.9755184
Freeborn,-93.5641078,43.7657901
St. Hilaire,-96.21238806034378,48.012388900000005
Milroy,-95.5533204,44.4176214
Hayward,-93.2440944,43.650514
Kelliher,-94.44829,47.941625
Hewitt,-95.0866937,46.3255179
Lake Wilson,-95.9532664,43.9967083
Cromwell,-92.8840939,46.6807803
Wahkon,-93.5215714,46.1187906
Climax,-96.8170222,47.6077515
Lake Lillian,-94.8798814,44.9435162
Hanley Falls,-95.6219645,44.6927352
Pease,-93.6480191,45.6980214
Oslo,-97.131159,48.1951323
Echo,-95.4175104,44.6169018
Pemberton,-93.7833425,44.0076685
Peterson,-91.8348562,43.7862132
Gary,-96.268103,47.3711053
Ostrander,-92.4279497,43.6135754
Ruthton,-96.103918,44.176633
Bigelow,-95.690014,43.505243
Villard,-95.2691995,45.7155184
Frost,-93.9240277,43.5837384
Gilman,-93.9491479,45.735245
Elrosa,-94.9472391,45.5627429
Donnelly,-96.0123218,45.6896938
Dennison,-93.0396206,44.4072933
Currie,-95.666399,44.071351
Dalton,-95.915609,46.173849
Northrop,-94.4363592,43.7363438
Storden,-95.3183305,44.037736
Rutledge,-92.8664568,46.2595839
Flensburg,-94.5350089,45.9552432
Orr,-92.831002,48.053527
Sobieski,-94.4591722,45.9244099
Bluffton,-95.2330859,46.4691278
Beardsley,-96.7123755,45.5582477
Lucan,-95.4105611,44.4096788
Greenwald,-94.8600149,45.6016317
Lewisville,-94.4374659,43.9232913
Ogema,-95.9255358,47.1040932
Okabena,-95.3158321,43.739404
Garrison,-93.8271992,46.294428
Waldorf,-93.6974928,43.9349223
Hitterdal,-96.259228,46.97746
Lismore,-95.947241,43.747744
Magnolia,-96.079559,43.645171
Minnesota City,-91.7495959,44.0938521
Kingston,-94.3133199,45.1969081
South Haven,-94.2120667,45.2922849
Meire Grove,-94.8691827,45.6296872
Mendota,-93.1643869,44.8871878
Hardwick,-96.19932,43.774851
Nelson,-95.2642005,45.8894074
Tenstrike,-94.6768682,47.6563825
Easton,-93.9011793,43.7654711
Shelly,-96.8190314,47.4576794
Holland,-96.188642,44.091635
Watson,-95.801348,45.009723
Bellechester,-92.5112976,44.3683004
Grygla,-95.617732,48.3005459
Big Falls,-93.8059355,48.1912938
Callaway,-95.909769,46.982459
Lake Bronson,-96.6639331,48.7356743
Warba,-93.266598,47.12883
Winger,-95.9883725,47.5360732
Kettle River,-92.8773356,46.4884021
Delavan,-94.0196815,43.7677968
Felton,-96.5063642,47.0785258
Kennedy,-96.9089482,48.641925
Dent,-95.716435,46.553571
Forada,-95.3555925,45.7921841
Steen,-96.263696,43.514579
Wright,-93.006878,46.6691142
Palisade,-93.4885687,46.7132862
Elizabeth,-96.129226,46.379682
Porter,-96.165595,44.636352
Waltham,-92.8771918,43.8216451
Wendell,-96.101169,46.035516
Winton,-91.800695,47.926289
Iona,-95.784181,43.91552
Campbell,-96.4043871,46.097696
Williams,-94.95522,48.768314
Longville,-94.2113636,46.9863443
Roosevelt,-95.0982082,48.8034101
Grasston,-93.1491067,45.7946814
Zumbro Falls,-92.4219702,44.283207
Kilkenny,-93.5741156,44.3132973
Northome,-94.2800267,47.8724999
Conger,-93.5282708,43.6149554
Clements,-95.0524937,44.381626
Kinney,-92.730737,47.514095
Bena,-94.207415,47.340669
Millville,-92.295731,44.244689
Mapleview,-92.974793,43.6904172
Bellingham,-96.28755,45.136075
Boyd,-95.903086,44.84857
Blomkest,-95.023277,44.9427369
Coates,-93.0346576,44.7171889
Laporte,-94.7533561,47.21411
Bingham Lake,-95.0463791,43.9066239
Shevlin,-95.2592685,47.5300348
Meadowlands,-92.732417,47.071884
Taunton,-96.065868,44.593573
Elkton,-92.7085153,43.6627418
Twin Lakes,-93.4229885,43.5596779
Brook Park,-93.0755389,45.949317
Heidelberg,-93.6263443,44.4913526
Chickamaw Beach,-94.3852717,46.7435711
Erhard,-96.098669,46.485515
Hammond,-92.3735113,44.2221886
Miesville,-92.8126995,44.6007079
