Lake ID,Lake Name,Lake County,Nearest Town,Lake Coordinates,Lake Area,Littoral Area,Lake Depth,Mean Depth,Water Access Sites
13003700,Unnamed,Chisago,Kost,"[0, 0]",0.0,0.0,0.0,0.0,['was00296']
13003000,Vibo,Chisago,Kost,"[-92.850935, 45.456513]",0.0,0.0,0.0,0.0,[]
13002900,Wallmark,Chisago,Chisago City,"[-92.876805, 45.38653]",0.0,0.0,0.0,0.0,[]
14009300,Barnesville,Clay,Barnesville,"[-96.412718, 46.658933]",0.0,0.0,0.0,0.0,[]
14006500,Burke,Clay,Winnipeg Junction,"[-96.246278, 46.823129]",0.0,0.0,0.0,0.0,[]
14005300,Christ Olson,Clay,Winnipeg Junction,"[-96.200962, 46.852153]",0.0,0.0,0.0,0.0,[]
14001800,Eleven,Clay,Rollag,"[-96.211158, 46.786726]",0.0,0.0,0.0,0.0,[]
14006100,Erickson,Clay,Winnipeg Junction,"[-96.199717, 46.842477]",0.0,0.0,0.0,0.0,[]
14003000,Fifteen,Clay,Hawley,"[-96.226343, 46.768814]",133.07,99.0,24.0,10.0,['was02511']
14008000,Flora,Clay,Hitterdal,"[-96.250628, 46.975203]",0.0,0.0,0.0,0.0,[]
14008600,Goose Prairie Marsh,Clay,Hitterdal,"[-96.24395, 47.002863]",0.0,0.0,0.0,0.0,[]
14005400,Hoe,Clay,Winnipeg Junction,"[-96.207336, 46.860696]",0.0,0.0,0.0,0.0,[]
14006200,Jergenson,Clay,Winnipeg Junction,"[-96.201814, 46.829807]",0.0,0.0,0.0,0.0,[]
14005600,Knudson,Clay,Winnipeg Junction,"[-96.2224, 46.8577]",0.0,0.0,0.0,0.0,[]
14004900,Lee,Clay,Hawley,"[-96.250537, 46.861644]",126.97,86.0,36.0,0.0,['was02980']
14000100,Maple,Clay,Norwegian Grove,"[-96.17614, 46.640121]",0.0,0.0,0.0,0.0,[]
14009900,Maria,Clay,Muskoda,"[-96.37415, 46.862383]",0.0,0.0,0.0,0.0,[]
14003500,Mayfield,Clay,Rollag,"[-96.217355, 46.758067]",0.0,0.0,0.0,0.0,[]
14004700,Moe,Clay,Dale,"[-96.197583, 46.874576]",0.0,0.0,0.0,0.0,[]
14003300,Nelson,Clay,Rollag,"[-96.255793, 46.76401]",0.0,0.0,0.0,0.0,[]
14006300,Overson,Clay,Rollag,"[-96.198762, 46.817684]",0.0,0.0,0.0,0.0,[]
14005800,Perch,Clay,Hawley,"[-96.265428, 46.850495]",0.0,0.0,0.0,0.0,[]
14001100,Ranum,Clay,Tansem,"[-96.213835, 46.658013]",0.0,0.0,0.0,0.0,[]
14010000,Silver,Clay,Hawley,"[-96.333332, 46.831083]",114.96,36.0,39.0,0.0,['was01900']
14000900,Solem,Clay,Tansem,"[-96.251824, 46.663292]",0.0,0.0,0.0,0.0,[]
14007800,Swede Grove,Clay,Hitterdal,"[-96.221075, 46.950204]",0.0,0.0,0.0,0.0,[]
14001000,Tansem,Clay,Tansem,"[-96.223673, 46.657349]",0.0,0.0,0.0,0.0,[]
14009200,Tatlie,Clay,Hitterdal,"[-96.324945, 46.987687]",0.0,0.0,0.0,0.0,[]
14002100,Ten,Clay,Rollag,"[-96.237076, 46.777747]",0.0,0.0,0.0,0.0,[]
14001900,Three,Clay,Rollag,"[-96.231064, 46.79728]",0.0,0.0,0.0,0.0,[]
14006600,Unnamed,Clay,Winnipeg Junction,"[0, 0]",0.0,0.0,0.0,0.0,[]
14006800,Unnamed,Clay,Rollag,"[0, 0]",0.0,0.0,0.0,0.0,[]
84001500,Unnamed,Wilkin,,"[0, 0]",0.0,0.0,0.0,0.0,[]
15007400,Anderson,Clearwater,Zerkel,"[-95.407501, 47.296702]",0.0,0.0,0.0,0.0,[]
15004000,Bagley,Clearwater,Leonard,"[-95.234523, 47.759792]",97.43,50.0,39.0,0.0,['was02535']
15000100,Big LaSalle,Clearwater,Lake Itasca,"[-95.172323, 47.293716]",235.22,40.0,48.0,0.0,['was02556']
15010300,Buckboard,Clearwater,Zerkel,"[-95.42553, 47.276701]",0.0,0.0,0.0,0.0,['was01477']
15006900,Cox,Clearwater,Zerkel,"[-95.366907, 47.191026]",60.99,39.0,30.0,10.0,[]
15002200,Daniel,Clearwater,Shevlin,"[-95.264232, 47.49239]",56.55,0.0,27.0,0.0,[]
15009000,Deep,Clearwater,Clearbrook,"[-95.398151, 47.683047]",40.24,12.2,76.0,0.0,['was01476']
15002700,East Four-Legged,Clearwater,Leonard,"[-95.244836, 47.645697]",0.0,0.0,0.0,0.0,[]
15001000,Elk,Clearwater,Lake Itasca,"[-95.21876, 47.189204]",303.43,73.0,93.0,32.0,['was01479']
15012100,Evey,Clearwater,Elbow Lake Village,"[-95.530129, 47.175098]",65.57,50.0,19.0,0.0,[]
15003800,Falk,Clearwater,Clearbrook,"[-95.294264, 47.707931]",73.24,20.0,33.0,0.0,['was03024']
15013900,First,Clearwater,Bagley,"[-95.453456, 47.518664]",69.14,19.0,36.0,0.0,['was01523']
15007000,Glanders,Clearwater,Elbow Lake Village,"[-95.402671, 47.19649]",56.84,29.0,35.0,0.0,[]
15005800,Heart,Clearwater,Mallard,"[-95.304103, 47.25723]",224.49,54.0,55.0,0.0,[]
15012300,Hoot Owl,Clearwater,Elbow Lake Village,"[-95.471828, 47.158984]",83.58,37.0,78.0,0.0,[]
15012700,Island,Clearwater,Zerkel,"[-95.498561, 47.265825]",44.34,26.5,58.0,0.0,['was02026']
15001600,Itasca,Clearwater,Lake Itasca,"[-95.201085, 47.216177]",1065.12,449.0,40.0,17.3,"['was02379', 'was02904', 'was02905']"
15013100,Jackson,Clearwater,Jack Pine,"[-95.531292, 47.366966]",86.19,82.0,35.0,0.0,['was00761']
15008600,Johnson,Clearwater,Clearbrook,"[-95.330876, 47.733844]",63.04,15.6,70.0,0.0,['was00731']
15004700,Kings,Clearwater,Debs,"[-95.271189, 47.791131]",0.0,0.0,0.0,0.0,[]
15014400,Lindberg,Clearwater,Clearbrook,"[-95.477618, 47.644727]",95.48,54.7,19.0,0.0,['was00734']
15011700,Little Bass,Clearwater,Elbow Lake Village,"[-95.527246, 47.190186]",50.54,0.0,35.0,0.0,['was02380']
15008100,Lomond,Clearwater,Bagley,"[-95.408025, 47.529629]",94.61,44.0,42.0,0.0,['was00735']
15010400,Lone,Clearwater,Bagley,"[-95.429083, 47.585757]",69.4,30.8,70.0,19.0,['was02256']
44000200,Lone,Mahnomen,Jack Pine,"[-95.55724, 47.358014]",112.44,105.0,22.0,13.0,['was02985']
15005000,Long,Clearwater,Clearbrook,"[-95.231628, 47.781463]",72.32,38.9,36.0,0.0,['was03025']
15005700,Long,Clearwater,Lake Itasca,"[-95.298574, 47.276398]",158.86,24.0,80.0,0.0,['was02378']
15006800,Long Lost,Clearwater,Zerkel,"[-95.410521, 47.195091]",501.2,275.0,63.0,12.5,['was00739']
15012200,Lower Camp,Clearwater,Elbow Lake Village,"[-95.526144, 47.167411]",54.48,25.0,27.0,0.0,[]
15013000,Lower Rice,Clearwater,Big Bear Landing,"[-95.467609, 47.350388]",0.0,0.0,0.0,0.0,[]
15001800,Mallard,Clearwater,Mallard,"[-95.265719, 47.301752]",104.66,77.0,17.0,0.0,[]
29028900,Mary,Hubbard,Lake Itasca,"[-95.167375, 47.185566]",53.82,18.6,41.0,0.0,['was00763']
15012400,McKenzie,Clearwater,Zerkel,"[-95.461587, 47.237981]",89.21,76.0,17.0,0.0,['was03042']
15007900,Minerva,Clearwater,Alida,"[-95.316728, 47.376233]",230.02,218.0,16.0,7.9,['was02390']
15013700,Minnow,Clearwater,Bagley,"[-95.474977, 47.532994]",109.8,88.0,24.0,0.0,['was02338']
